date,equity,daily_return,gross_exposure,net_exposure
2014-09-25,996590.5852169285,-3.2000000000000005e-05,79729.79817089575,-26212.62298453178
2014-09-26,996354.2545008109,-0.00023713922208706289,0.0,0.0
2014-09-29,996354.2545008109,0.0,0.0,0.0
2014-09-30,996354.2545008109,0.0,0.0,0.0
2014-10-01,996354.2545008109,0.0,0.0,0.0
2014-10-02,996354.2545008109,0.0,0.0,0.0
2014-10-03,996322.3711646668,-3.2000000000000005e-05,79708.34036006487,5250.070274366022
2014-10-06,996222.5309365847,-0.00010020875870265292,0.0,0.0
2014-10-07,996222.5309365847,0.0,0.0,0.0
2014-10-08,996222.5309365847,0.0,0.0,0.0
2014-10-09,996222.5309365847,0.0,0.0,0.0
2014-10-10,996222.5309365847,0.0,0.0,0.0
2014-10-13,996222.5309365847,0.0,0.0,0.0
2014-10-14,996222.5309365847,0.0,0.0,0.0
2014-10-15,996222.5309365847,0.0,0.0,0.0
2014-10-16,996222.5309365847,0.0,0.0,0.0
2014-10-17,996222.5309365847,0.0,0.0,0.0
2014-10-20,996222.5309365847,0.0,0.0,0.0
2014-10-21,996222.5309365847,0.0,0.0,0.0
2014-10-22,996222.5309365847,0.0,0.0,0.0
2014-10-23,996222.5309365847,0.0,0.0,0.0
2014-10-24,996222.5309365847,0.0,0.0,0.0
2014-10-27,996222.5309365847,0.0,0.0,0.0
2014-10-28,996222.5309365847,0.0,0.0,0.0
2014-10-29,996222.5309365847,0.0,0.0,0.0
2014-10-30,996222.5309365847,0.0,0.0,0.0
2014-10-31,996222.5309365847,0.0,0.0,0.0
2014-11-03,996222.5309365847,0.0,0.0,0.0
2014-11-04,996222.5309365847,0.0,0.0,0.0
2014-11-05,996190.6518155948,-3.2e-05,79697.80247492678,-26900.139739272174
2014-11-06,996960.871306345,0.000773164744465816,79695.25214524758,-27256.131050517517
2014-11-07,997013.1436080635,5.243164824507775e-05,159513.7394090152,-21003.61313963753
2014-11-10,997223.7222710781,0.00021120951550612983,79761.05148864508,6098.99179099757
2014-11-11,997351.9920556198,0.00012862688850760303,79777.89778168625,5957.571231121161
2014-11-12,997685.6242230939,0.0003345179737259595,79788.15936444959,5530.701572957594
2014-11-13,997673.2440286274,-1.2408913354893354e-05,0.0,0.0
2014-11-14,997673.2440286274,0.0,0.0,0.0
2014-11-17,997673.2440286274,0.0,0.0,0.0
2014-11-18,997673.2440286274,0.0,0.0,0.0
2014-11-19,997673.2440286274,0.0,0.0,0.0
2014-11-20,997673.2440286274,0.0,0.0,0.0
2014-11-21,997673.2440286274,0.0,0.0,0.0
2014-11-24,997673.2440286274,0.0,0.0,0.0
2014-11-25,997673.2440286274,0.0,0.0,0.0
2014-11-26,997673.2440286274,0.0,0.0,0.0
2014-11-28,997673.2440286274,0.0,0.0,0.0
